,review_text,review_date,review_title,review_stars,review_flavor
0,"I love the Neutrogena Ultra Sheer Dry-Touch line. It prevents sunburn while still allowing my skin to get some color, it has a non-greasy feel, and it has just a very faint floral scent that is not obnoxiously ""beachy.""I have been using the SPF 30 formula for a few years and love it because it adds a subtle dewy radiance on my face that works well under makeup, spreads easily, and does not have a white cast.I upgraded to the SPF 45 this summer knowing I'd have access to a pool for a few weeks, and the pro to the SPF 45 formulation is that it does prevent sunburn, does seem to continue working even after getting wet, and also has the same faint floral scent on the SPF30 version. But the cons are that it has a subtle-but-noticable white cast and is thicker and requires more product to spread evenly everywhere. It still dries down/absorbs to be far less greasy than other sunscreens, but it is a little thicker feeling on the body than the SPF30 formula.I usually apply the sunscreen and give it at least 10 minutes to ""soak in"" before going into the sun, sitting/laying down, letting my hair down, etc. And in that time, the white cast does lessen, and the product does loose some of its initial lotiony oiliness... all in all, though, it feels like a noticeably heavier product than the SPF30.  Which feels great when I'm in a skimpy swimsuit under the hot sun intentionally trying to get a little protective color on my skin for the season, without damaging it, and also not wanting to reapply as frequently if I'm outside for the whole afternoon, but I'll be switching back to the SPF 30 for all other purposes.The SPF30 needs to be re-applied more frequently if you plan to be exposed to the sun for continuous time, but even though it offers less protection, I feel like the formulation is just right in terms of spreadability, absorption time, lack of white cast, and versatility.So 5 stars on SPF45 version in terms of it working as advertised, but 4 stars due to it not being quite as versatile as it's SPF 30 sibling. I feel like I also use much more of the SPF45 than the SPF30 to get the same amount of physical coverage due to it being more viscous.","Reviewed in the United States on August 7, 2023","4.0 out of 5 stars
Love it for laying out, but use the SPF 30 for daily face/arm/neck etc.",4.0 out of 5 stars,Size: 3 Fl Oz (Pack of 2)Style: SPF 45
1,"This ultra sheer is easy to apply but does give a white cast to the skin, even after waiting 10 minutes for the skin to take it in before doing anything else. It seems to protect well enough, though, and that is important for me. It doesn't take much sun exposure for me to tan and, unfortunately, I now display the damage that causes. So, other than leaving that white cast to the skin (I am dark skinned, BTW), this is working out great for me, even through sweating, and I would recommend.","Reviewed in the United States on November 27, 2023","4.0 out of 5 stars
Works, but leaves a white cast",4.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
2,Me lo aplico luego de una crema hidratante pero realmente esperaba otra cosa pxq si no lo riego bien queda blanco si es para cuidar el rostro y luego aplicar maquillaje les recomiendo uno de spray creo que fijaría mejor y no se veria tan cargado el rostro,"Reviewed in the United States on December 6, 2023","4.0 out of 5 stars
Es bueno pero …",4.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
3,"Neutrogena se caracteriza por sus productos de calidad, este bloqueador para mi es ideal ya que no me deja sensación grasosa y se absorbe rápido.","Reviewed in the United States on December 13, 2023","5.0 out of 5 stars
PRODUCTO DE CALIDAD",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
4,"Adoro los productos de neutrogena, a mi me van muy bien, solamente tengan cuidado con el contacto con los ojos, puede llegar a molestar mucho","Reviewed in the United States on December 12, 2023","5.0 out of 5 stars
Protector solar de neutrogena es lo mejor",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
5,Love this Neutrogena dry-touch line. They feel great on your face. It is not sticky.,"Reviewed in the United States on December 14, 2023","5.0 out of 5 stars
Love this sunscreen",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 2)Style: SPF 45
6,buen producto super facil de untarbuena protecionlo utilizo por que trabajo dentro de una nevera y el frio me quema la cara y con este protector ya no me pasa lo super recomiento,"Reviewed in the United States on November 30, 2023","5.0 out of 5 stars
super",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 2)Style: SPF 45
7,It is a very lite formula that goes on so smoothly.  I like it enough to use a a moisturize on my face but will save it for my days when I play pickleball.  It protects my face from the harmful rays.  Other products seems to be too greasy and get in my eyes while playing.,"Reviewed in the United States on November 18, 2023","5.0 out of 5 stars
Non Greasy",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
8,"My dermatologist recommended this sunscreen. I have used it every day and love that it is absorbed into my skin completely. It is never sticky or greasy, and I can wear my makeup over the top of it. I am sure that it has helped to cut down on visits to my dermatologist due to sun damage. Great product - Thanks!","Reviewed in the United States on November 17, 2023","5.0 out of 5 stars
Great for your face!",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 3)Style: SPF 70
9,I don't use any sun cream other than this one because I don't think there is anything better.,"Reviewed in the United States on December 11, 2023","5.0 out of 5 stars
sunscreen",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
