product_name,topic_name,topic_description,topic_sentiment
Neutrogena Ultra Sheer Dry-Touch Sunscreen,White cast,"Some reviewers mentioned that the sunscreen leaves a white cast on their skin, especially if they have darker skin tones.",negative
Neutrogena Ultra Sheer Dry-Touch Sunscreen,Greasiness,A few reviewers complained that the sunscreen feels greasy and heavy on the skin.,negative
Neutrogena Ultra Sheer Dry-Touch Sunscreen,Sensitive skin,Many reviewers with sensitive skin said that this sunscreen did not irritate their skin.,positive
Neutrogena Ultra Sheer Dry-Touch Sunscreen,SPF protection,Reviewers generally agreed that the sunscreen provides good SPF protection.,positive
Neutrogena Ultra Sheer Dry-Touch Sunscreen,Price,The sunscreen is considered to be affordable by many reviewers.,positive
Pipette Mineral Sunscreen,Sensitive skin,Many reviewers with sensitive skin said that this sunscreen did not irritate their skin.,positive
Pipette Mineral Sunscreen,SPF protection,Reviewers generally agreed that the sunscreen provides good SPF protection.,positive
Pipette Mineral Sunscreen,Moisturizing,Many reviewers mentioned that the sunscreen is moisturizing and does not dry out their skin.,positive
Pipette Mineral Sunscreen,White cast,"Some reviewers mentioned that the sunscreen leaves a white cast on their skin, especially if they have darker skin tones.",negative
Pipette Mineral Sunscreen,Price,The sunscreen is considered to be affordable by many reviewers.,positive
CeraVe Hydrating Sunscreen Face Lotion,Sensitive skin,Many reviewers with sensitive skin said that this sunscreen did not irritate their skin.,positive
CeraVe Hydrating Sunscreen Face Lotion,SPF protection,Reviewers generally agreed that the sunscreen provides good SPF protection.,positive
CeraVe Hydrating Sunscreen Face Lotion,Moisturizing,Many reviewers mentioned that the sunscreen is moisturizing and does not dry out their skin.,positive
CeraVe Hydrating Sunscreen Face Lotion,White cast,"Some reviewers mentioned that the sunscreen leaves a white cast on their skin, especially if they have darker skin tones.",negative
CeraVe Hydrating Sunscreen Face Lotion,Price,The sunscreen is considered to be affordable by many reviewers.,positive
