,review_text,review_date,review_title,review_stars,review_flavor
0,"I love the Neutrogena Ultra Sheer Dry-Touch line. It prevents sunburn while still allowing my skin to get some color, it has a non-greasy feel, and it has just a very faint floral scent that is not obnoxiously ""beachy.""I have been using the SPF 30 formula for a few years and love it because it adds a subtle dewy radiance on my face that works well under makeup, spreads easily, and does not have a white cast.I upgraded to the SPF 45 this summer knowing I'd have access to a pool for a few weeks, and the pro to the SPF 45 formulation is that it does prevent sunburn, does seem to continue working even after getting wet, and also has the same faint floral scent on the SPF30 version. But the cons are that it has a subtle-but-noticable white cast and is thicker and requires more product to spread evenly everywhere. It still dries down/absorbs to be far less greasy than other sunscreens, but it is a little thicker feeling on the body than the SPF30 formula.I usually apply the sunscreen and give it at least 10 minutes to ""soak in"" before going into the sun, sitting/laying down, letting my hair down, etc. And in that time, the white cast does lessen, and the product does loose some of its initial lotiony oiliness... all in all, though, it feels like a noticeably heavier product than the SPF30.  Which feels great when I'm in a skimpy swimsuit under the hot sun intentionally trying to get a little protective color on my skin for the season, without damaging it, and also not wanting to reapply as frequently if I'm outside for the whole afternoon, but I'll be switching back to the SPF 30 for all other purposes.The SPF30 needs to be re-applied more frequently if you plan to be exposed to the sun for continuous time, but even though it offers less protection, I feel like the formulation is just right in terms of spreadability, absorption time, lack of white cast, and versatility.So 5 stars on SPF45 version in terms of it working as advertised, but 4 stars due to it not being quite as versatile as it's SPF 30 sibling. I feel like I also use much more of the SPF45 than the SPF30 to get the same amount of physical coverage due to it being more viscous.","Reviewed in the United States on August 7, 2023","4.0 out of 5 stars
Love it for laying out, but use the SPF 30 for daily face/arm/neck etc.",4.0 out of 5 stars,Size: 3 Fl Oz (Pack of 2)Style: SPF 45
1,"It leaves a smell but it's super good for this price. There is no oily-ness left over after rubbing it in and leaves a dry touch as the name suggests. There is minimal whitecast and feels invisible after putting it on. Though it does dry down quickly so you'd have to smooth it out quickly too. Once it dries, you're left with whatever you have at the moment (if you have white streaks, you're stuck with that). It also takes a while to wash off but I think it's worth it for the protection you're getting.","Reviewed in the United States on October 14, 2023","5.0 out of 5 stars
Great Sunscreen",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 2)Style: SPF 45
2,"I loved this sunscreen. My skin is sensitive and tends to dehydrate easily, as well as redden easily in the sun or have small acne breakouts when a product clogs pores and although this sunscreen is really cheap (less than $10), I don't get any of that using it. I use it mostly when I run not so early in the morning or go to an outdoor activity, and despite sweating, it stays on the skin. Also, it has a mild essence that fades within minutes.","Reviewed in the United States on October 18, 2023","5.0 out of 5 stars
My current essential",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
3,"I use this sunscreen daily! I have a very simple morning routine, cleanse, vitamin c serum, moisturizer, and then sunscreen. I’ve been using this for probably 10 yrs (at least). It’s lightweight, not greasy, and absorbs well. The best I’ve ever found","Reviewed in the United States on October 27, 2023","5.0 out of 5 stars
The Only Sunscreen I Will Use On My Face!",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
4,It spreads nicely without leaving a thick residue.  I have sensitive skin and it did not give me any kind of reaction.  Seems to have worked well being exposed to many sunny days in our vacation.,"Reviewed in the United States on October 30, 2023","4.0 out of 5 stars
Works for sensitive skin",4.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
5,"After some convincing, I realized that I ought to start wearing sunscreen everyday now, to protect my skin. I'm someone who sweats pretty easily, so I opted to get these so my face wouldn't feel even more oily when I go out on a hot day. I was really pleasantly surprised when I put it on and had it dry by the time I got out the door just moments later. Hope it helps","Reviewed in the United States on October 11, 2023","5.0 out of 5 stars
they weren't lying when they said dry-touch",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 2)Style: SPF 45
6,I have been using this product for more than 8 months and I really like the way it gives protection to my skin. I recommend this product to everyone.,"Reviewed in the United States on October 31, 2023","5.0 out of 5 stars
Awesome sun protector at a cheap price.",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
7,"Llevo varios años usándolo,  pq es agradable al tacto,  no deja la piel grasosa y tiene buen precio. Lo recomiendo.","Reviewed in the United States on November 3, 2023","5.0 out of 5 stars
Me encanta!",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 2)Style: SPF 45
8,"I still have them, the price is really good to have them.Is not too melty as some products.It helps me giving me protection!","Reviewed in the United States on October 31, 2023","5.0 out of 5 stars
Worth it",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 2)Style: SPF 45
9,It's a tiny bottle so only use this hi spf on my face. Love the consistency. Goes on/absorbs well.,"Reviewed in the United States on November 3, 2023","5.0 out of 5 stars
Love this sunscreen for my face",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
10,"I hate most sunscreens, because they make me break out.  Most feel greasy going on, heavy while I'm wearing them, and they make me sweat.  Finally, here's a sunscreen I can wear everyday.  It's not greasy, not heavy, doesn't make me sweat and I don't break out.The only thing I worry about is some of the chemicals used.  However, the same company makes a 20% zinc oxide sunscreen that I plan to try soon.  That's a physical sunscreen, which physically blocks the sun's rays (like wearing a shirt) rather than a chemical sunscreen like this one, which absorbs the energy from the sun's rays.","Reviewed in the United States on September 22, 2023","5.0 out of 5 stars
Great sunscreen with no pimples",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
11,"I don't like sunscreen.  I have never used it consistently because I don't the the smell or the feel of it.Then I tried the Neutrogena Ultra Sheer Dry-Touch.  It does not smell like sunscreen.  It has a barely noticeable fresh scent.  It goes on so smoothly, and a little goes a long way.  It leaves my face feeling soft and silky, not oily.Since I purchased it, I have used sunscreen every day.  My husband started using it as well.  I will definitely buy it again.","Reviewed in the United States on September 22, 2023","5.0 out of 5 stars
I am not a sunscreen fan, but...",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 1)Style: SPF 70
12,"I loved this sunscreen. It's easy to use, helps protect me from the sun, does not have a white tint nor an overbearing chemical smell. The only issue is that though it claims to be non-greasy, by the end of the day the tip of my nose is super shiny but that could actually be just me since my cheeks and forehead were not greasy.","Reviewed in the United States on October 5, 2023","5.0 out of 5 stars
Amaze!",5.0 out of 5 stars,Size: 3 Fl Oz (Pack of 2)Style: SPF 45
